attendance,previous_marks,study_hours_w1,sleep_hours_w1,lms_logins_w1,assignments_completed_w1,mock_exams_w1,study_hours_w2,sleep_hours_w2,lms_logins_w2,assignments_completed_w2,mock_exams_w2,study_hours_w3,sleep_hours_w3,lms_logins_w3,assignments_completed_w3,mock_exams_w3,study_hours_w4,sleep_hours_w4,lms_logins_w4,assignments_completed_w4,mock_exams_w4,final_score
62.8,45.4,2.1,5.4,9.0,1,40.2,2.3,5.6,15.0,0,36.7,2.8,5.4,12.0,1,40.6,3.5,5.1,15.0,0,39.0,38.0
83.0,77.6,4.1,6.9,21.0,2,65.1,3.8,6.8,20.0,2,68.1,4.3,6.6,25.0,1,65.4,3.8,6.6,20.0,2,64.7,62.0
83.5,65.0,6.3,7.9,28.0,0,63.6,5.7,7.9,32.0,1,57.6,5.3,7.7,33.0,1,59.1,6.5,7.2,31.0,1,64.8,61.0
74.1,75.7,5.4,7.0,24.0,1,66.8,4.7,6.7,21.0,1,66.8,5.1,6.9,23.0,2,67.7,5.1,6.5,21.0,2,67.6,60.0
83.3,63.7,3.4,6.4,36.0,2,55.2,4.1,6.4,33.0,1,55.8,3.7,6.6,33.0,0,54.9,3.5,6.3,34.0,1,56.5,54.0
80.2,70.8,5.2,6.4,20.0,2,61.3,5.0,6.4,22.0,1,62.7,5.3,6.7,21.0,1,64.3,5.4,6.6,20.0,2,64.0,63.0
82.5,68.7,5.1,6.6,31.0,2,62.5,5.3,6.7,32.0,1,64.5,4.5,6.6,33.0,2,63.1,4.9,6.5,30.0,0,59.2,57.0
83.1,68.5,4.8,7.0,24.0,1,65.5,4.3,7.0,25.0,1,60.1,3.9,6.2,28.0,1,64.2,4.8,6.8,27.0,2,61.7,57.0
76.1,66.3,3.8,7.7,25.0,2,56.0,3.4,7.4,29.0,1,56.7,3.6,7.2,30.0,1,59.7,4.1,7.2,30.0,1,58.2,55.0
97.7,85.6,6.3,7.7,43.0,2,78.6,7.5,7.6,45.0,2,77.6,6.5,7.8,47.0,2,78.1,7.5,8.1,43.0,2,79.7,76.0
89.5,93.1,8.2,7.7,53.0,2,84.1,7.2,7.4,50.0,2,84.6,7.0,7.6,53.0,2,81.4,7.2,7.6,56.0,2,82.8,79.0
87.3,63.9,4.8,6.5,27.0,1,59.9,4.7,6.3,29.0,2,58.9,5.8,6.7,30.0,1,58.9,5.3,6.7,28.0,1,56.7,55.0
79.2,73.2,4.6,7.7,27.0,1,65.2,4.7,7.5,28.0,1,65.4,4.3,7.6,29.0,1,63.0,4.8,8.1,29.0,2,64.4,58.0
74.3,68.1,3.3,6.6,21.0,1,58.6,2.4,6.5,22.0,1,54.2,4.0,6.7,22.0,0,62.1,3.4,6.2,22.0,1,56.4,51.0
87.9,77.9,4.7,6.2,32.0,1,67.6,5.1,6.7,28.0,1,69.7,5.1,6.6,26.0,0,70.4,4.7,6.7,30.0,1,67.7,63.0
62.1,49.1,2.5,4.9,13.0,0,45.2,2.4,4.5,15.0,2,42.1,2.6,5.3,14.0,0,45.7,2.9,5.2,18.0,1,45.1,42.0
61.4,43.0,3.0,5.8,16.0,0,36.7,3.0,5.6,14.0,1,36.2,2.9,6.1,18.0,0,39.2,3.2,5.4,16.0,0,41.4,38.0
80.5,60.9,5.5,7.6,27.0,2,57.8,5.3,7.5,25.0,1,55.9,5.4,6.9,29.0,2,54.2,5.7,7.3,26.0,1,56.7,59.0
97.3,96.7,6.7,8.2,47.0,2,83.8,7.1,8.1,46.0,2,87.6,6.8,7.9,48.0,2,87.2,7.4,8.5,49.0,2,88.5,79.0
86.0,74.0,4.9,6.4,26.0,1,66.5,5.4,7.0,27.0,2,64.0,5.2,6.6,27.0,2,67.1,4.8,6.2,28.0,2,63.4,66.0
94.5,88.3,7.2,7.6,39.0,2,81.0,7.1,8.5,37.0,1,83.6,8.2,8.4,40.0,2,81.4,7.9,7.8,41.0,1,81.7,76.0
83.3,77.3,4.1,6.6,21.0,1,66.1,4.6,7.1,25.0,2,65.0,4.5,6.7,22.0,1,69.2,4.3,7.0,21.0,0,64.2,61.0
87.1,65.7,3.6,7.7,33.0,1,54.2,4.3,7.6,34.0,1,61.1,4.2,7.3,36.0,1,58.5,4.3,7.5,36.0,0,57.6,55.0
76.0,79.9,4.2,6.7,32.0,0,67.0,3.9,6.5,30.0,2,65.6,3.9,6.8,31.0,2,66.8,3.6,6.8,32.0,2,72.1,59.0
53.3,44.5,2.1,6.2,14.0,1,37.0,1.9,6.5,18.0,0,34.9,0.9,6.5,17.0,1,38.7,1.6,6.2,16.0,1,36.3,36.0
67.3,44.0,1.8,5.7,12.0,1,36.0,1.7,5.3,13.0,1,36.3,2.2,5.1,13.0,0,43.9,2.4,5.2,16.0,2,36.6,38.0
84.7,72.7,4.2,7.5,27.0,1,64.9,5.0,7.6,26.0,2,63.9,4.7,7.1,28.0,1,62.5,5.1,7.4,28.0,1,64.5,61.0
95.3,92.2,7.0,8.9,46.0,1,83.8,6.4,8.4,46.0,2,82.6,6.4,8.5,48.0,2,81.8,6.9,7.6,46.0,1,84.8,78.0
55.3,42.8,2.0,6.1,19.0,0,36.0,2.4,5.7,17.0,0,34.5,2.5,5.5,18.0,0,36.3,2.3,5.5,19.0,1,37.1,37.0
75.4,60.7,4.0,7.4,37.0,1,55.7,4.1,7.4,34.0,1,54.0,4.4,7.2,33.0,2,56.1,4.1,6.9,37.0,2,54.6,54.0
84.9,60.4,5.4,7.3,26.0,2,56.8,5.4,7.1,25.0,1,56.0,5.6,7.5,22.0,1,58.6,5.5,7.4,28.0,1,56.1,57.0
72.6,72.8,5.3,7.6,30.0,2,66.1,5.9,8.2,25.0,1,65.1,6.0,7.8,29.0,1,68.5,6.3,7.8,28.0,1,68.8,61.0
82.4,80.9,4.3,7.3,28.0,1,68.4,3.9,7.3,25.0,1,65.5,5.1,7.3,26.0,0,73.0,4.7,7.4,34.0,1,69.8,63.0
63.6,42.3,2.5,5.8,16.0,1,33.7,2.2,5.8,19.0,0,39.3,1.9,5.8,21.0,0,37.3,1.9,5.2,18.0,1,34.8,35.0
57.8,58.8,2.4,6.1,12.0,1,49.3,2.7,6.2,14.0,0,47.3,2.6,6.1,13.0,0,54.7,2.5,5.5,15.0,1,51.1,44.0
78.9,74.8,4.3,6.8,33.0,2,65.2,3.3,6.6,30.0,1,64.9,4.3,7.0,32.0,1,64.0,3.8,6.6,35.0,1,63.3,58.0
77.0,74.9,4.5,6.9,23.0,1,65.2,4.3,6.9,22.0,2,63.9,4.8,6.8,23.0,1,62.1,4.8,6.8,25.0,2,68.1,62.0
91.2,97.4,6.9,7.6,46.0,2,91.2,7.3,7.8,42.0,1,85.9,7.4,7.3,41.0,2,89.3,7.5,7.1,44.0,2,92.7,82.0
75.2,68.7,3.9,7.1,29.0,1,58.6,3.4,6.9,31.0,2,59.1,3.4,7.2,29.0,1,55.4,3.2,7.1,29.0,1,53.7,59.0
85.8,81.6,4.3,7.5,32.0,2,69.5,4.6,7.4,33.0,1,72.4,4.5,7.5,34.0,1,69.5,4.8,7.7,33.0,1,69.2,64.0
87.3,60.2,5.9,7.5,34.0,2,57.8,5.5,7.5,36.0,2,56.8,6.2,7.2,33.0,0,54.2,5.3,7.1,34.0,1,52.0,58.0
61.0,55.9,1.9,4.8,8.0,1,43.8,2.5,5.2,9.0,1,48.1,2.9,4.6,11.0,0,48.2,2.4,5.0,11.0,1,48.8,45.0
65.0,44.8,2.9,6.7,22.0,0,37.9,2.9,5.9,17.0,0,38.3,2.7,6.1,20.0,0,37.8,2.7,6.5,17.0,0,40.8,36.0
73.6,67.9,3.9,7.6,26.0,1,58.4,3.9,8.0,28.0,2,56.0,4.3,7.8,26.0,1,60.0,4.1,7.3,25.0,1,59.5,55.0
79.3,64.6,4.2,6.8,22.0,2,56.1,4.3,6.8,24.0,2,58.4,3.8,6.4,22.0,1,58.7,4.6,7.0,19.0,1,55.9,57.0
91.2,87.9,6.5,7.0,46.0,2,77.0,6.6,6.5,47.0,2,79.2,6.5,7.2,45.0,2,81.1,6.6,7.4,48.0,2,79.5,75.0
77.9,60.0,4.4,7.3,37.0,2,49.3,3.6,7.1,36.0,1,52.1,3.5,7.1,40.0,0,53.0,4.2,7.1,37.0,1,52.6,51.0
84.5,72.7,4.0,7.3,29.0,2,60.1,3.5,7.0,31.0,0,62.7,3.4,7.9,28.0,1,61.7,3.6,7.4,33.0,1,60.5,54.0
53.6,48.9,2.2,4.9,18.0,2,41.1,1.9,4.9,15.0,1,40.8,1.6,5.0,18.0,1,39.7,1.5,4.6,20.0,1,37.8,39.0
84.3,71.0,2.7,6.6,27.0,2,57.7,3.2,6.2,26.0,1,58.6,3.2,6.2,28.0,2,59.3,3.0,5.9,27.0,2,59.5,54.0
76.0,72.4,4.3,7.3,21.0,1,63.4,4.0,6.9,27.0,1,65.6,4.2,7.0,22.0,2,65.6,4.2,7.1,18.0,1,60.1,58.0
85.7,64.6,2.4,6.6,36.0,1,54.0,3.7,6.7,34.0,2,56.7,2.9,6.5,36.0,1,54.0,3.8,5.8,36.0,1,54.0,54.0
85.6,69.3,3.5,6.8,32.0,1,61.8,3.4,6.7,32.0,1,57.0,4.2,6.9,35.0,2,57.3,4.4,7.0,35.0,1,64.8,62.0
86.9,78.2,4.9,7.5,28.0,1,69.3,4.8,7.5,25.0,2,65.7,5.2,7.5,29.0,2,72.4,4.3,7.2,30.0,2,66.2,65.0
88.1,93.3,9.0,7.8,42.0,2,91.6,9.1,7.5,42.0,2,83.9,9.6,7.4,41.0,2,89.9,9.6,7.3,44.0,2,91.6,84.0
88.1,92.8,5.9,7.4,39.0,2,83.6,6.1,7.7,41.0,2,83.7,6.1,8.0,43.0,2,80.6,7.0,7.9,42.0,2,84.7,76.0
76.4,69.5,5.6,6.5,26.0,2,62.1,6.2,6.2,26.0,1,64.5,5.2,6.2,27.0,1,62.8,6.0,6.4,30.0,0,67.5,62.0
76.3,60.3,5.8,7.2,29.0,1,55.0,5.5,6.8,34.0,1,57.8,5.6,6.7,29.0,1,57.5,5.8,6.8,32.0,1,57.6,56.0
66.5,58.3,1.9,5.9,15.0,1,49.2,1.8,5.5,15.0,0,45.7,2.0,5.1,13.0,0,51.0,2.2,5.7,17.0,0,49.1,43.0
94.0,85.2,7.7,8.1,52.0,2,78.9,7.4,8.1,53.0,2,78.3,8.1,8.3,49.0,2,81.4,7.7,7.4,53.0,1,79.6,76.0
72.4,66.6,4.7,6.4,30.0,1,57.9,4.3,6.6,26.0,2,59.7,4.9,6.3,28.0,1,60.0,4.1,5.8,30.0,1,59.1,56.0
